Organization/Person Name,Contact Email
Precious,ibudeprecious87@gmail.com
austria Wirtschaftsservice (aws),24h-auskunft@aws.at
Santander,accionistas@santander.com
Eurazeo,accueil@eurazeo.com
Encomenda VC,admin@encomenda.one
OSS Ventures,admin@oss.ventures
Begin Capital,alex.menn@begincl.com ruslan@begincl.com
The Twenty Minute VC,amy@x.ai
AE Ventures,ana@aeventures.io
Angels in MedCity,angelsinmedcity@angelcapital.co.uk
Nordic Science Investments,anssi.uimonen@nordscience.com
Cemex Ventures,aparicio.cristina@cemexventures.com
henQ,applications@henq.vc
SMRK VC Fund,applications@smrk.vc
AddVenture,apply@addventure.vc
Auriga Cyber Ventures,aurigacyberventures@aurigapartners.com
JME Ventures,backme@jme.vc
Ninepointfive,bart@ninepointfive.vc
Blockchain Founders Capital,ben@bfc.vc
b2venture,berlin@b2venture.vc
Loudspring,bigge@cleantechinvest.com
Biotope,biotope@vib.be
Akbank,bizeulasin@akbank.com
VNV Global,bjorn@vnv.global
BOM,brabantventures@bom.nl
World Fund,brightfuture@worldfund.vc
BStartup,bstartup@bancsabadell.com
Lightshift Capital,build@lightshift.xyz
Buildit VC,buildit@buildit.lv
Bynd Venture Capital,bynd@bynd.vc
Eczacıbaşı Momentum,cagdas.aygun@eczacibasi.com.tr
Golden Egg Check Capital,capital@goldeneggcheck.com
2b AHEAD Ventures Fund,caro@2bahead-ventures.com
La Famiglia,ciao@lafamiglia.vc
BREEGA,com@breega.com
DFINITY,comms@dfinity.org
NWO,communicatie@nwo.nl
Ventech,communication@ventechvc.com
IRDI SORIDEC Gestion,contact.bordeaux@irdi.fr
468 Capital,contact@468cap.com
50 Partners,contact@50partners.fr
Aglaé Ventures,contact@aglaeventures.com
AIP Seed,contact@aipseed.vc
Alven,contact@alven.com
Aperture.co,contact@aperture.co
Aper Ventures,contact@aperventures.com
Aster,contact@aster.com
astorya.vc,contact@astorya.vc
Atomico,contact@atomico.com
Audacia,contact@audacia.fr
Avonmore Developments,contact@avonmoredevelopments.com
Axeleo Capital,contact@axc.vc
Bek Ventures,contact@bekventures.com
Better Angle,contact@better-angle.com
Big Pi Ventures,contact@bigpi.vc
Btomorrow Ventures,contact@btomorrowv.com
CentraleSupélec Venture,contact@centralesupelec.venture.fr
Citizen Capital,contact@citizencapital.fr
ClearlySo,contact@clearlyso.com
Collective Spark,contact@collectivespark.com
Diffusion Capital Partners,contact@dcp.vc
Demeter,contact@demeter-im.com
Elaia,contact@elaia.com
Eterna Capital,contact@eternacapital.com
EuraTechnologies,contact@euratechnologies.com
Faber,contact@faber.vc
Future Energy Ventures,contact@fev.vc
Final Frontier (Space & Defence VC),contact@finalfrontier.vc
Finindus,contact@finindus.be
First Imagine!,contact@firstimagine.com
FoodLabs,contact@foodlabs.de
Fortech Investments,contact@fortech.vc
FundingBox Deep Tech Fund,contact@fundingbox.vc
GapMinder VC,contact@gapminder.vc
Global Founders Capital,contact@globalfounderscapital.com
GoHub Ventures,contact@gohub.vc
HCVC,contact@hardwareclub.co
Heaventures,contact@heaventures.com
HUB612,contact@hub612.com
Iconic Holding,contact@iconicholding.com
Interop,contact@interop.ventures
Jolt Capital,contact@jolt-capital.com
Karista,contact@karista.vc
Karot Capital,contact@karot.capital
KnowledgeHub,contact@kh.vc
KOMPAS VC,contact@kompas.vc
KREAXI,contact@kreaxi.com
Lombard Odier,contact@lombardodier.com
Longwall Venture,contact@longwallventures.com
LVL1 Group,contact@lvl1group.com
MAIF Avenir,contact@maif-avenir.com
Maj Invest Equity,contact@majinvest.com
Maximon,contact@maximon.com
Moonrock Capital,contact@moonrockcapital.io
Mountain Partners,contact@mountain.partners
Alma Mundi Ventures,contact@mundiventures.com
Munich Re,contact@munichre.com
Newfund,contact@newfundcap.com
Nordstar,contact@nordstar.com
OneRagtime,contact@oneragtime.com
Outlier Ventures,contact@outlierventures.io
Polytechnique Ventures,contact@polytechnique-ventures.fr
Portugal Ventures,contact@portugalventures.pt
Rabobank,contact@rabobank.com
Resonance,contact@resonance.vc
Rheingau Founders,contact@rheingau-founders.com
Riceberg Ventures,contact@riceberg.vc.
Ring Capital,contact@ringcp.com
RockawayX,contact@rockawayx.com
ScaleX Ventures,contact@scalexventures.com
Secways,contact@secways.com
Serena,contact@serena.vc
Serpentine Ventures,contact@serpentine.vc
Signature Ventures,contact@signatureventures.com
SmartAngels.fr,contact@smartangels.fr
STATION F,contact@stationf.co
Super Capital VC,contact@supercapital.cv
Sustainable Ventures,contact@sustainableventures.co.uk
THE Q AGENCY,contact@theqagency.com
Seed Haus,contact@thisisseedhaus.com
Truffle Capital,contact@truffle.com
WiSEED,contact@wiseed.com
XAnge,contact@xange.fr
YYX Capital,contact@yyxcapital.com
Zephyrus Partners,contact@zphrs.com
La Bolsa Social,contacto@bolsasocial.com
Fondo Bolsa Social,contacto@bolsasocial.fund
Pepper Advantage,contactservicing@peppergroup.co.uk
Eureeca,contactus@eureeca.com
Martlet Capital,contactus@martletcap.com
Metavallon VC,contactus@metavallon.vc
SyndicateRoom,contactus@syndicateroom.com
Fund Twenty8,contactus@syndicateroom.com
Virgin Group,contactus@virgin.com
AGORANOV,courrier@agoranov.com
MSM,cristina@msm.vc
Raiffeisen Bank International,customer@rbinternational.com
SwissBorg,cyborg@swissborg.com
Polkastarter,daniel@polkastarter.com
AFI Ventures,dealflow@afi.ventures
DvH Ventures,deals@dvhventures.de
